,ds,y,consumer_price_index,GDP_US,inflation,covid_US,covid_EU
1675,2016-06-03,1.115200161933899,239.557,18656.207,1.56,0.0,0.0
1676,2016-06-06,1.1350995302200317,239.557,18656.207,1.54,0.0,0.0
1677,2016-06-07,1.1364023685455322,239.557,18656.207,1.55,0.0,0.0
1678,2016-06-08,1.1357828378677368,239.557,18656.207,1.58,0.0,0.0
1679,2016-06-09,1.140706181526184,239.557,18656.207,1.58,0.0,0.0
1680,2016-06-10,1.1315033435821533,239.557,18656.207,1.58,0.0,0.0
1681,2016-06-13,1.1239995956420898,239.557,18656.207,1.58,0.0,0.0
1682,2016-06-14,1.1291015148162842,239.557,18656.207,1.54,0.0,0.0
1683,2016-06-15,1.1213024854660034,240.222,18656.207,1.54,0.0,0.0
1684,2016-06-16,1.1262656450271606,240.222,18656.207,1.54,0.0,0.0
1685,2016-06-17,1.1252011060714722,240.222,18656.207,1.52,0.0,0.0
1686,2016-06-20,1.13490629196167,240.222,18656.207,1.54,0.0,0.0
1687,2016-06-21,1.1322976350784302,240.222,18656.207,1.57,0.0,0.0
1688,2016-06-22,1.1250618696212769,240.222,18656.207,1.59,0.0,0.0
1689,2016-06-23,1.1328235864639282,240.222,18656.207,1.56,0.0,0.0
1690,2016-06-24,1.1324002742767334,240.222,18656.207,1.52,0.0,0.0
1691,2016-06-27,1.103594422340393,240.222,18656.207,1.47,0.0,0.0
1692,2016-06-28,1.1015034914016724,240.222,18656.207,1.45,0.0,0.0
1693,2016-06-29,1.1073951721191406,240.222,18656.207,1.47,0.0,0.0
1694,2016-06-30,1.1128050088882446,240.222,18656.207,1.42,0.0,0.0
1695,2016-07-01,1.1106051206588745,240.222,18656.207,1.42,0.0,0.0
1696,2016-07-04,1.1131023168563843,240.222,18656.207,1.43,0.0,0.0
1697,2016-07-05,1.1146035194396973,240.222,18656.207,1.43,0.0,0.0
1698,2016-07-06,1.1065007448196411,240.222,18656.207,1.44,0.0,0.0
1699,2016-07-07,1.1099025011062622,240.222,18656.207,1.5,0.0,0.0
1700,2016-07-08,1.1065741777420044,240.222,18656.207,1.42,0.0,0.0
1701,2016-07-11,1.1043988466262817,240.222,18656.207,1.34,0.0,0.0
1702,2016-07-12,1.1058032512664795,240.222,18656.207,1.37,0.0,0.0
1703,2016-07-13,1.1062926054000854,240.222,18656.207,1.4,0.0,0.0
1704,2016-07-14,1.1094961166381836,240.222,18656.207,1.4,0.0,0.0
1705,2016-07-15,1.1106051206588745,240.101,18821.359,1.43,0.0,0.0
1706,2016-07-18,1.1053143739700317,240.101,18821.359,1.43,0.0,0.0
1707,2016-07-19,1.1071866750717163,240.101,18821.359,1.4,0.0,0.0
1708,2016-07-20,1.1013579368591309,240.101,18821.359,1.43,0.0,0.0
1709,2016-07-21,1.1019526720046997,240.101,18821.359,1.43,0.0,0.0
1710,2016-07-22,1.1032899618148804,240.101,18821.359,1.43,0.0,0.0
1711,2016-07-25,1.097044587135315,240.101,18821.359,1.42,0.0,0.0
1712,2016-07-26,1.0991184711456299,240.101,18821.359,1.46,0.0,0.0
1713,2016-07-27,1.0987803936004639,240.101,18821.359,1.45,0.0,0.0
1714,2016-07-28,1.1073460578918457,240.101,18821.359,1.45,0.0,0.0
1715,2016-07-29,1.108438491821289,240.101,18821.359,1.49,0.0,0.0
1716,2016-08-01,1.1168068647384644,240.101,18821.359,1.49,0.0,0.0
1717,2016-08-02,1.1168068647384644,240.101,18821.359,1.44,0.0,0.0
1718,2016-08-03,1.1219062805175781,240.101,18821.359,1.46,0.0,0.0
1719,2016-08-04,1.1151504516601562,240.101,18821.359,1.52,0.0,0.0
1720,2016-08-05,1.1134741306304932,240.101,18821.359,1.51,0.0,0.0
1721,2016-08-08,1.1089547872543335,240.101,18821.359,1.5,0.0,0.0
1722,2016-08-09,1.1083648204803467,240.101,18821.359,1.5,0.0,0.0
1723,2016-08-10,1.111580491065979,240.101,18821.359,1.49,0.0,0.0
1724,2016-08-11,1.1186434030532837,240.101,18821.359,1.52,0.0,0.0
1725,2016-08-12,1.113908290863037,240.101,18821.359,1.49,0.0,0.0
1726,2016-08-15,1.1166945695877075,240.545,18821.359,1.46,0.0,0.0
1727,2016-08-16,1.1184055805206299,240.545,18821.359,1.44,0.0,0.0
1728,2016-08-17,1.1275991201400757,240.545,18821.359,1.46,0.0,0.0
1729,2016-08-18,1.1298924684524536,240.545,18821.359,1.47,0.0,0.0
1730,2016-08-19,1.1349449157714844,240.545,18821.359,1.5,0.0,0.0
1731,2016-08-22,1.1298158168792725,240.545,18821.359,1.51,0.0,0.0
1732,2016-08-23,1.1319260597229004,240.545,18821.359,1.49,0.0,0.0
1733,2016-08-24,1.1300839185714722,240.545,18821.359,1.44,0.0,0.0
1734,2016-08-25,1.1263798475265503,240.545,18821.359,1.47,0.0,0.0
1735,2016-08-26,1.1290504932403564,240.545,18821.359,1.44,0.0,0.0
