date,sentiment
2021-03-31,neutral
2021-03-25,neutral
2021-03-19,neutral
2021-03-12,neutral
2021-03-10,neutral
2021-03-05,neutral
2021-03-01,neutral
2021-02-15,neutral
2021-02-02,neutral
2021-01-26,neutral
2021-01-19,neutral
2020-12-30,neutral
2020-12-16,neutral
2020-12-07,neutral
2020-11-30,neutral
2020-11-26,neutral
2020-11-23,neutral
2020-11-12,neutral
2020-11-05,neutral
2020-10-30,neutral
2020-10-16,neutral
2020-10-05,neutral
2020-09-10,neutral
2020-09-02,neutral
2020-08-21,neutral
2020-08-14,neutral
2020-08-10,neutral
2020-08-03,positive
2020-07-21,positive
2020-07-08,neutral
2020-07-02,neutral
2020-06-25,neutral
2020-06-19,neutral
2020-06-12,neutral
2020-06-04,neutral
2020-05-28,neutral
2020-05-21,neutral
2020-05-13,neutral
2020-04-27,neutral
2020-04-27,neutral
2020-04-21,neutral
2020-04-20,neutral
2020-04-13,neutral
2024-05-31,neutral
2024-05-28,neutral
2024-05-21,neutral
2024-05-14,neutral
2024-05-09,neutral
2024-05-03,neutral
2024-04-30,neutral
2024-04-24,negative
2024-04-18,neutral
2024-04-16,neutral
2024-04-12,neutral
2024-04-08,neutral
2024-04-02,negative
2024-03-26,negative
2024-03-20,neutral
2024-03-14,neutral
2024-03-08,neutral
2024-03-01,neutral
2024-02-28,neutral
2024-02-14,neutral
2024-02-08,neutral
2024-02-02,neutral
2024-01-30,neutral
2024-01-24,neutral
2024-01-17,neutral
2024-01-11,neutral
2024-01-08,neutral
2024-01-02,neutral
2023-12-29,neutral
2023-12-21,neutral
2023-12-14,neutral
2023-12-05,neutral
2023-11-29,neutral
2023-11-27,neutral
2023-11-21,neutral
2023-11-15,neutral
2023-11-09,neutral
2023-11-06,neutral
2023-10-31,neutral
2023-10-26,neutral
2023-10-19,neutral
2023-10-16,neutral
2023-10-10,neutral
2023-10-04,neutral
2023-09-28,neutral
2023-09-22,neutral
2023-09-18,neutral
2023-09-12,neutral
2023-09-06,neutral
2023-08-30,neutral
2023-08-24,neutral
2023-08-17,neutral
2023-08-14,neutral
2023-08-08,neutral
2023-07-26,neutral
2023-07-19,neutral
2023-07-13,neutral
2023-07-07,negative
2023-07-03,neutral
2023-06-27,neutral
2023-06-21,neutral
2023-06-14,neutral
2023-06-05,neutral
2023-05-19,negative
2023-05-17,neutral
2023-05-08,neutral
2023-05-03,neutral
2023-04-28,neutral
2023-04-18,neutral
2023-04-14,neutral
2023-04-10,neutral
2023-03-21,negative
2023-03-10,neutral
2023-03-01,negative
2023-02-14,neutral
2023-02-08,neutral
2023-02-01,neutral
2023-01-27,neutral
2023-01-20,neutral
2023-01-18,neutral
2023-01-16,neutral
2023-01-11,neutral
2023-01-04,neutral
2022-12-22,neutral
2022-12-14,neutral
2022-12-08,neutral
2022-12-05,neutral
2022-12-01,positive
2022-11-25,neutral
2022-11-18,neutral
2022-11-10,neutral
2022-11-01,neutral
2022-10-27,neutral
2022-10-25,neutral
2022-10-18,neutral
2022-10-12,neutral
2022-09-30,negative
2022-09-26,neutral
2022-09-16,neutral
2022-09-13,neutral
2022-09-09,neutral
2022-09-02,neutral
2022-08-31,neutral
2022-08-26,neutral
2022-08-24,neutral
2022-08-18,neutral
2022-08-10,neutral
2022-08-05,neutral
2022-07-28,positive
2022-07-26,neutral
2022-07-21,neutral
2022-07-04,neutral
2022-06-28,neutral
2022-06-22,neutral
2022-06-17,neutral
2022-06-09,neutral
2022-06-07,neutral
2022-05-16,neutral
2022-05-10,neutral
2022-05-03,neutral
2022-04-25,positive
2022-04-22,neutral
2022-04-18,neutral
2022-04-14,neutral
2022-04-11,positive
2022-03-28,neutral
2022-03-21,neutral
2022-03-09,neutral
2022-03-07,neutral
2022-03-02,neutral
2022-02-28,neutral
2022-02-23,neutral
2022-02-22,positive
2022-02-21,neutral
2022-02-16,neutral
2022-02-10,neutral
2022-02-02,neutral
2022-01-28,neutral
2022-01-06,neutral
2022-01-03,neutral
2021-12-22,neutral
2021-12-06,neutral
2021-11-22,neutral
2021-11-11,neutral
2021-10-14,neutral
2021-10-08,neutral
2021-09-27,neutral
2021-09-20,positive
2021-09-06,neutral
2021-09-02,neutral
2021-08-31,neutral
2021-08-27,neutral
2021-08-24,neutral
2021-08-18,negative
2021-08-16,neutral
2021-08-13,neutral
2021-08-10,neutral
2021-08-02,neutral
2021-07-09,neutral
2021-07-02,negative
2021-06-28,neutral
2021-06-21,negative
2021-06-15,positive
2021-06-10,neutral
2021-06-09,neutral
2021-06-07,neutral
2021-05-31,negative
2021-05-20,neutral
2021-05-10,neutral
2021-05-05,neutral
2021-04-29,neutral
2021-04-22,neutral
2021-04-15,neutral
2021-04-12,neutral
2021-04-06,neutral
2021-03-31,neutral
